title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
Invasion: The Story of D-Day ,Bruce Bliven,,,,,,,8,
Invincible Louisa,Cornelia Meigs,,Fiction,,,,,2,
Irish Sagas and Folk-Tales,Eileen O’Faolain,,,History,,,,,
Island of the Blue Dolphin,Scott O'Dell,,Fiction,,,,,5,Kindle
Ivanhoe,Walter Scott,,,,,,,8,
Jahanara: Princess of Princesses,Kathryn Lasky,,,,,,,7,
James Herriot’s Treasury,James Herriot,,Fiction,,,,,3,
Japanese Tales and Legends,Helen and William McAlpine,,,History,,,,,
Joan of Arc,Diane Stanley,,Non-Fiction,,,,,4,
Johnny Tremain,Esther Forbes,,,History,,,,7,
Joni,Joni Eareckson,,Non-Fiction,,,,,6,
Journey from Peppermint Street,Meindert De Jong,,Fiction,,,,,5,
Journey Through the Night,Anne De Vries,,,,,,,8,
Journey to America,Sonia Levitin,,,,,,,8,
Journey to Ellis Island,Carol Bierman,,,,,,,8,
Journey to the Center of the Earth,Jules Verne,,Fiction,,,,,5,Kindle
Journey to the Edge of Reason,Stephen Budiansky,,Non-Fiction,Biography,Maths,,,,
Julie of the Wolves,Jean Craighead George,,Fiction,,,,,5,Kindle
Julius Caesar,Shakespeare,,,,,,,8,
Just So Stories,Rudyard Kipling,,Fiction,,,,,3,
"Keep the Lights Burning, Abbie",Peter Roop,,Fiction,,,,,2,
Kidnapped,Robert Louis Stevenson,,Fiction,Adventure,,,,7,
Kim,Rudyard Kipling,,,Historical Fiction,,,,,
King Arthur and His Knights of the Round Table,Roger Lancelyn,,Fiction,,,,,4,
"King Lear
",Shakespeare,,Fiction,Historical Play,,,,9,
King of the Wind,Marguerite Henry,,Non-Fiction,,,,,4,
Know What You Believe,Paul Little,,,,,,,7,
Know Why You Believe,Paul Little,,,,,,,7,
Lad: A Dog,Albert Terhune,,Fiction,,,,,5,
Land of the Morning,Jean McAnlis McMurdie,,,,,,,8,
Lassie Come-Home,Eric Knight,,Fiction,,,,,4,
Leepike Ridge,N. D. Wilson,,Fiction,,,,,4,
Leif the Lucky,Ingri D'Aulaire,,Fiction,,,,,4,
Lentil,Robert McCloskey,,Fiction,,,,,2,
Les Miserables,Victor Hugo,,,,,,,7,
Leviathan,Hobbes,,,Literature,,,,10,
Little House in the Big Woods,Laura Wilder,,Non-Fiction,,,,,1,
Little House on the Prairie,Laura Wilder,,Non-Fiction,,,,,3,
Little Lord Fauntleroy,Francess Burnett,,Fiction,,,,,5,
Little Men,Louisa Alcott,,Fiction,,,,,5,
Little Pilgrim’s Progress,"Taylor, Helen.",,Fiction,,,,,1,
Little Women,Louisa May Alcott,,Fiction,Historical Fiction,,,,4,
Logicomix: An Epic Search for Truth,Apostolos Doxiadis,,,Math,,,,,
Lord of the Rings,JRR Tolkien,,Fiction,Fantasy,,,,5,
Macbeth,William Shakespeare,,Fiction,Historical Play,War,,,9,
Madeline,Ludwig Bemelmans,,Fiction,,,,,2,
Man Without a Country,Edward E. Hale,,,Fiction,,,,,
Many Moons,James Thurber,,Fiction,,,,,4,
"Mara, Daughter of the Nile",Eloise Jarvis McGraw,,,Historical Fiction,,,,,
Mark Twain,Clinton Cox,,,,,,,7,
Marlfox,Brian Jacques,,Fiction,,,,,6,
Mary Poppins,P. I. Travers,,Fiction,,,,,4,
Master of the Grove,Victor Kelleher,,Fiction,Fantasy,,,,5,
Math Without Numbers,Milo Beckman,,,Mathematics,,,,,Physical
Measure for Measure,Shakespeare,,,Literature,,,,10,
Measurement,Paul Lockhart,,Non-Fiction,Maths,,,,10,
Mere Christianity,C. S. Lewis,,,Religion,,,,7,Kindle
Microbe Hunters,Paul DeKruif,,,Science,,,,8,Kindle
Mike Mulligan and His Steamshovel,Virginia Burton,,Fiction,,,,,2,
Millions of Cats,Wanda Gag,,Fiction,,,,,2,
Miracles on Maple Hill,Virginia Sorensen,,Fiction,,,,,6,
